"skills","skills_id"
"Python (Programming Language)","SK1"
"Data Science","SK2"
"Artificial Neural Networks","SK3"
"Deep Learning","SK4"
"Google Cloud Platform (GCP)","SK5"
"Machine Learning","SK6"
"TensorFlow","SK7"
"Algorithms","SK8"
"Marketing Analytics","SK9"
"Master's Degree","SK10"
"Statistics","SK11"
"Wireless Technologies","SK12"
"Mining","SK13"
"Employee Benefits Design","SK14"
"Apache Spark","SK15"
"Azure Data Lake","SK16"
"Leadership","SK17"
"Scala","SK18"
"Bachelor's Degree","SK19"
"Due Diligence","SK20"
"Communication","SK21"
"Forecasting","SK22"
"Strategy","SK23"
"Economics","SK24"
"Databases","SK25"
"Testing","SK26"
"SQL","SK27"
"Data Analysis","SK28"
"Data Mining","SK29"
"Organization Skills","SK30"
"Report Writing","SK31"
"Segmentation","SK32"
"Database Design","SK33"
"Tableau","SK34"
"Analytics","SK35"
"Alteryx","SK36"
"Microsoft Power BI","SK37"
"SPSS","SK38"
"Microsoft Azure","SK39"
"Consulting","SK40"
"Data Visualization","SK41"
"R","SK42"
"Bayesian inference","SK43"
"Regression Analysis","SK44"
"Predictive Modeling","SK45"
"Programming","SK46"
"Food & Beverage","SK47"
"Recommender Systems","SK48"
"E-commerce","SK49"
"Marketing","SK50"
"Nutrition","SK51"
"Microsoft Excel","SK52"
"Management","SK53"
"Writing","SK54"
"Healthcare","SK55"
"Consolidation","SK56"
"Data Cleaning","SK57"
"Master Data Management","SK58"
"SAP ERP","SK59"
"SAP Retail","SK60"
"Master Data","SK61"
"Data Governance","SK62"
"Cleansing","SK63"
"Enterprise Resource Planning (ERP)","SK64"
"Public Policy","SK65"
"Linear Regression","SK66"
"Statistical Modeling","SK67"
"NumPy","SK68"
"Pandas (Software)","SK69"
"Logistic Regression","SK70"
"Scikit-Learn","SK71"
"SQL Server Reporting Services (SSRS)","SK72"
"Cognos","SK73"
"Problem Solving","SK74"
"Research","SK75"
"Valuation","SK76"
"Web Applications","SK77"
"Web Services","SK78"
"Leisure Industry","SK79"
"Django","SK80"
"Investment Properties","SK81"
"Proprietary Trading","SK82"
"C++","SK83"
"Electrical Engineering","SK84"
"Trading","SK85"
"Traders","SK86"
"Simulations","SK87"
"Research and Development (R&D)","SK88"
"Matlab","SK89"
"Google Analytics","SK90"
"Critical Thinking","SK91"
"Pricing Strategy","SK92"
"Customer Experience","SK93"
"Training","SK94"
"Java","SK95"
"Natural Language Processing (NLP)","SK96"
"Unstructured Data","SK97"
"Doctor of Philosophy","SK98"
"Cloud Computing","SK99"
"Apache","SK100"
"Analytical Skills","SK101"
"Finance","SK102"
"Modeling","SK103"
"Proofreading","SK104"
